,Check,with,Pin
View : av_func_setup_pw_vmin_tmin_cw
Startpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/s_change_detect_sr_reg_2_/CK
Clock : (R) pll_mux_clk
Endpoint : (R) u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/div_ratio_d3_reg_1_/D
Clock : (R) pll_mux_clk
Slack : =   -0.627
Instance_name,trans,fanout,delay
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23027,0.072,1,0.095
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23028,0.052,1,0.095
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23029,0.072,1,0.112
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23030,0.083,1,0.113
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23031,0.074,1,0.109
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23032,0.075,1,0.108
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23033,0.072,1,0.097
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23034,0.056,1,0.097
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23035,0.071,1,0.106
u_cyip_dig_arka_top/u_cyip_dig_arka_core/u_cyip_dig_socexp_top/u_cyip_dig_gmu_top/u_cyip_dig_crpmu/u_gen_clk_div2_sub1g_clk/CTS_cdb_buf_23036,0.073,1,0.081
